date,rhmin,rhmax,tmin,tmax,temp,wind,rs,rh,pressure,et0,ra,et0_pmfao56,et0_hs,et0_fao24,et0_hamon
2021-05-10,26.2,88.7,4.8,22.4,13.6,6.6,14.4,57.4,961.0,2.86,20.33473281690483,2.7731183387063956,2.4954592219242664,2.308898739952005,1.7550128388390083
2021-05-11,18.5,83.7,3.5,24.1,13.8,4.9,14.5,51.1,961.0,2.71,20.162459625823697,2.6424025018807122,2.694469672031132,2.38404250524715,1.768144766449572
2021-05-12,12.5,68.9,3.3,25.1,14.2,6.6,14.4,40.7,958.0,3.64,19.99363111231122,3.36388933033098,2.7844869458026382,2.5700038503283347,1.803908607689094
2021-05-13,37.4,72.0,5.8,18.5,12.2,5.9,4.7,54.7,961.0,1.99,19.82830017975773,1.9765163931613388,1.9722118866458447,0.53032757903264,1.5841590909451821
2021-05-14,32.4,77.0,7.2,22.7,15.0,9.5,15.2,54.7,960.0,1.815,19.666518076902783,3.2684903946349144,2.3690543551325667,2.6643958158092174,1.8780379011697974
2021-05-15,46.2,79.2,9.1,18.6,13.8,4.7,5.1,62.7,961.0,1.64,19.508334399818875,1.6128784857673268,1.7704276057732127,0.5837018957344864,1.7340853826486395
2021-05-16,31.5,90.9,4.5,22.0,13.2,4.9,9.8,61.2,961.0,2.21,19.3537970960708,2.102041630798108,2.337258954211985,1.3931714411620881,1.6624862980728852
2021-05-17,19.0,93.3,6.2,26.9,16.6,9.3,13.0,56.2,959.0,4.24,19.202952470969972,3.863751204944678,2.807924236761159,2.296886110181538,2.046708391153131
2021-05-18,71.1,100.0,8.2,13.1,10.6,6.8,2.5,85.6,960.0,0.91,19.055845195836937,0.7284950773005912,1.1128239336437504,0.044284434657019756,1.400373189790365
2021-05-19,56.2,87.9,8.1,16.3,12.2,6.8,6.8,72.1,962.0,1.57,18.912518318179348,1.5489120390280826,1.5115499885857218,0.7870420599488133,1.5408510847386367
2021-05-20,62.1,95.3,6.2,14.4,10.3,7.7,5.7,78.7,961.0,1.32,18.77301327368691,1.3033455249962227,1.402829448614502,0.533074677666399,1.3624358737066151
