date,tmean,tmin,tmax,hum,radsol,tmean_percent ,tmin_percent ,tmax_percent ,hum_percent ,radsol_percent  
02-12-2021,18.8,10.4,27.2,52.8,30.7,100,100,100,100,100
03-12-2021,19.4,12.7,26,53.3,33,100,100,100,100,100
04-12-2021,21.8,12.4,31.2,38.7,33.6,100,100,100,100,100
05-12-2021,23.7,14.3,33.1,37,33.9,100,100,100,100,100
06-12-2021,20.5,13.7,27.4,58.6,32.8,100,100,100,100,100
07-12-2021,19.4,11.7,27.1,59.5,32.3,100,100,100,100,100
08-12-2021,20.2,11.2,29.3,52.6,33.7,100,100,100,100,100
09-12-2021,21.3,14,28.6,48.7,33.2,100,100,100,100,100
10-12-2021,18.2,13.3,23,64.4,32.8,100,100,100,100,100
11-12-2021,17,13.1,20.8,73.4,22,100,100,100,100,100
12-12-2021,18.2,13.2,23.1,56.7,28.8,100,100,100,100,100
13-12-2021,18.2,11.3,25.2,49.8,33.4,100,100,100,100,100
14-12-2021,18.9,11.3,26.5,46.5,33.2,100,100,100,100,100
15-12-2021,21,12.4,29.5,41.9,33.6,100,100,100,100,100
16-12-2021,20.1,12.2,28,51.8,33.8,100,100,100,100,100
17-12-2021,20,10.5,29.4,55.5,32.8,96,96,96,96,96
18-12-2021,22.2,13.6,30.8,44.6,34.1,100,100,100,100,100
19-12-2021,23.9,15.5,32.3,44,34.1,100,100,100,100,100
20-12-2021,23.8,15.5,32,43,34.4,100,100,100,100,100
21-12-2021,22.6,14.4,30.8,46.6,34.4,100,100,100,100,100
22-12-2021,21.4,13.7,29.1,50.6,34.1,100,100,100,100,100
23-12-2021,19.6,12.3,26.9,65.2,33,100,100,100,100,100
24-12-2021,23,14.5,31.5,46.8,33.8,100,100,100,100,100
25-12-2021,23.8,15.7,31.9,42.6,32.3,100,100,100,100,100
26-12-2021,24.4,16.6,32.1,41.7,30.1,100,100,100,100,100
27-12-2021,23,15.7,30.4,51.6,28.9,100,100,100,100,100
28-12-2021,22.2,15.4,28.9,57.6,32.3,100,100,100,100,100
29-12-2021,18,13.5,22.5,70.6,27.1,100,100,100,100,100
30-12-2021,22.8,16.3,29.4,48.2,33.1,100,100,100,100,100
31-12-2021,23,15.8,30.2,41,34.2,100,100,100,100,100
01-01-2022,19.9,11.7,28.1,40.7,34.1,100,100,100,100,100
02-01-2022,20.6,12,29.3,45.9,34,100,100,100,100,100
03-01-2022,22.3,14,30.6,44.3,33.6,100,100,100,100,100
04-01-2022,22.8,15.4,30.3,49.3,33.2,100,100,100,100,100
05-01-2022,23.4,16.4,30.5,48.4,32.3,100,100,100,100,100
06-01-2022,21.5,14,29,55.8,33,100,100,100,100,100
07-01-2022,23,14.4,31.6,48.2,33.8,100,100,100,100,100
08-01-2022,22.2,16.3,28,56.2,32.5,100,100,100,100,100
09-01-2022,20.8,14.2,27.3,61.2,28.8,100,100,100,100,100
10-01-2022,22.3,14.8,29.8,52.2,30.5,100,100,100,100,100
11-01-2022,23.2,16.7,29.7,50.8,30.6,100,100,100,100,100
12-01-2022,22.4,15.2,29.6,59.2,31.4,100,100,100,100,100
13-01-2022,20.7,13.8,27.6,64.8,31.2,100,100,100,100,100
14-01-2022,23,15.1,30.9,50.2,31.6,100,100,100,100,100
15-01-2022,21.8,15.9,27.7,58.8,32.3,100,100,100,100,100
16-01-2022,18,13.9,22.1,70.6,24.1,100,100,100,100,100
