Data,Eto
10-07-2022,0.63
11-07-2022,1.06
12-07-2022,1.55
13-07-2022,0.99
14-07-2022,1.45
15-07-2022,1.06
16-07-2022,1.24
17-07-2022,1.08
18-07-2022,1.83
19-07-2022,2.1
20-07-2022,2.09
21-07-2022,2.24
22-07-2022,2.67
23-07-2022,2.19
24-07-2022,0.96
25-07-2022,1.23
26-07-2022,1.66
27-07-2022,1.12
28-07-2022,1.8
29-07-2022,2.66
30-07-2022,0.86
31-07-2022,1.82
01-08-2022,1.01
02-08-2022,1.61
03-08-2022,1.49
04-08-2022,1.67
05-08-2022,2.09
06-08-2022,1.1
07-08-2022,1.6
08-08-2022,1.7
09-08-2022,2.71
10-08-2022,2.89
11-08-2022,2.76
12-08-2022,1.84
13-08-2022,2.16
14-08-2022,1.37
15-08-2022,1.78
16-08-2022,0.92
17-08-2022,1.23
18-08-2022,2.18
19-08-2022,3.32
20-08-2022,3.39
21-08-2022,3.11
22-08-2022,0.67
23-08-2022,2.48
24-08-2022,2.2
25-08-2022,2.91
26-08-2022,1.85
27-08-2022,3.26
28-08-2022,3.94
29-08-2022,3.94
30-08-2022,1.52
31-08-2022,1.17
01-09-2022,1.94
02-09-2022,3.49
03-09-2022,4.24
04-09-2022,4.24
05-09-2022,4.72
06-09-2022,4.56
07-09-2022,2.13
08-09-2022,1.44
09-09-2022,3.01
10-09-2022,3.29
11-09-2022,1.9
12-09-2022,2.85
13-09-2022,2.82
14-09-2022,4.39
15-09-2022,4.26
16-09-2022,2.04
17-09-2022,2.2
