,temp,clouds,pressure,wind,humidity
1458583200,27.67,1,1013,2.6,29
1458590400,27.48,0,1014,2.91,39
1458597600,23.3,0,1015,1.71,59
1458640800,13.96,0,1013,1.27,66
1458648000,12.37,1,1015,0.0,89
1458655200,21.58,0,1013,1.17,48
1458662400,25.43,0,1012,2.01,42
1458669600,29.57,1,1010,1.5,25
1458676800,30.3,1,1011,2.83,30
1458684000,24.02,1,1011,1.47,57
1458727200,15.1,4,1013,0.75,77
1458734400,14.11,5,1014,0.67,78
1458741600,18.74,0,1015,1.9,68
1458748800,20.96,0,1014,2.55,62
1458756000,24.77,1,1013,2.6,38
1458763200,25.44,1,1013,3.22,48
1458770400,21.97,0,1013,2.2,66
1458813600,13.08,2,1014,1.41,84
1458820800,12.87,40,1017,0.0,91
1458828000,20.88,0,1014,1.35,63
1458835200,23.42,26,1013,1.85,59
1458842400,24.17,40,1012,3.1,42
1458849600,24.17,67,1012,2.72,56
1458856800,20.72,51,1013,2.42,69
1458900000,15.0,0,1011,0.77,70
1458907200,11.67,1,1013,0.0,92
1458914400,21.42,0,1011,1.08,55
1458921600,23.84,0,1010,1.48,50
1458928800,28.77,1,1007,2.6,30
1458936000,29.1,3,1007,1.76,35
1458943200,24.99,0,1008,2.02,57
1458986400,16.14,42,1012,1.39,54
1458993600,12.67,40,1014,0.0,87
1459000800,21.42,100,1013,0.76,44
1459008000,23.66,100,1012,4.15,45
1459015200,19.27,75,1015,1.0,59
1459022400,23.28,32,1014,2.06,55
1459029600,20.23,32,1014,1.36,69
1459072800,15.49,0,1015,0.68,66
1459080000,12.27,75,1018,0.0,92
1459087200,19.44,41,1016,1.23,57
1459094400,23.79,93,1015,1.77,45
1459101600,25.87,40,1014,0.5,40
1459108800,25.7,86,1014,2.83,45
1459116000,22.01,100,1014,1.64,65
1459159200,15.76,71,1016,0.72,67
1459166400,11.87,75,1018,0.0,92
1459173600,20.58,65,1015,1.02,59
1459180800,24.96,92,1014,1.98,44
1459188000,25.48,99,1013,2.76,45
1459195200,25.12,93,1012,2.46,48
1459202400,21.39,58,1013,1.51,68
1459245600,14.19,0,1014,1.68,67
1459252800,11.47,1,1016,0.0,91
1459260000,19.51,0,1015,1.45,54
1459267200,22.36,0,1015,2.0,54
1459274400,20.87,1,1016,2.6,61
1459281600,24.0,0,1014,2.76,54
1459288800,19.42,1,1015,2.52,73
1459332000,15.11,27,1016,1.0,82
1459339200,12.97,90,1018,0.0,93
1459346400,18.61,95,1016,1.29,66
1459353600,20.48,98,1016,1.98,63
1459360800,20.37,90,1016,0.0,62
1459368000,22.04,99,1017,2.54,60
1459375200,19.1,85,1017,1.53,70
1459418400,15.77,100,1016,0.94,70
1459425600,14.67,40,1016,0.0,79
1459432800,19.48,80,1015,1.14,62
1459440000,21.51,87,1014,2.13,56
1459447200,23.43,94,1014,2.64,51
1459454400,23.12,99,1013,2.46,52
1459461600,20.16,99,1013,1.62,70
1459504800,16.4,90,1014,0.31,79
1459512000,15.07,90,1015,0.0,82
1459519200,18.38,87,1016,1.36,74
1459526400,19.55,91,1016,1.66,68
1459533600,21.37,90,1015,1.5,54
1459540800,21.23,96,1015,2.64,59
1459548000,18.74,100,1015,1.9,69
1459591200,15.01,28,1017,0.65,78
1459598400,14.27,90,1018,0.0,86
1459605600,17.28,87,1017,1.53,74
1459612800,19.04,95,1015,2.01,68
1459620000,17.87,40,1015,2.1,69
1459627200,22.69,69,1013,3.19,57
1459634400,19.33,45,1013,2.22,70
1459677600,14.35,61,1013,0.39,82
1459684800,13.68,58,1015,0.84,86
1459692000,16.27,39,1016,2.0,78
1459699200,19.24,93,1017,3.19,66
1459706400,15.97,75,1020,1.5,72
