date,tmin,tmax,temp,rh,rhmin,rhmax,wind,cod_wc,ra,et0_pmfao56_raxwc
2021-04-14,13.85,27.92,18.844791666666666,52.9121875,24.83,77.28,1.618125,0.7564583333333333,25.811802747435102,3.7580323440269567
2021-04-15,13.34,27.51,18.83760416666667,53.087812500000005,22.24,78.67,1.5313541666666666,0.9966666666666667,25.573658339411256,4.725505283338122
2021-04-16,12.75,26.85,18.2834375,49.41739583333333,23.98,71.6,1.5135416666666668,0.8976041666666666,25.33705395477761,4.204753351626774
2021-04-17,11.22,25.25,17.047708333333333,56.6465625,30.8,79.85,1.6137500000000002,0.3717708333333334,25.102078154285927,2.5930672877913175
2021-04-18,11.91,25.39,16.969375,52.23885416666667,28.48,73.7,1.6380208333333333,0.6208333333333333,24.86881865552847,3.171321718995345
2021-04-19,11.78,23.34,16.27125,47.62354166666666,19.7,89.3,1.6795833333333334,0.08156249999999998,24.63736227289156,1.9557354053421319
2021-04-20,10.58,23.74,14.912291666666668,66.73864583333334,23.1,93.3,2.0471875,0.3840625,24.407794859333336,2.3807825743974007
2021-04-21,9.61,18.23,12.969479166666666,75.6165625,50.8,95.46,1.625,0.14875000000000005,24.180201250082224,1.1577715473748644
2021-04-22,9.42,19.88,13.14,72.19114583333334,43.07,89.66,1.5766666666666669,0.12010416666666668,23.95466520834728,1.1668921063796938
2021-04-23,9.87,21.37,14.289166666666668,67.30833333333334,34.66,94.67,1.2807291666666667,0.40041666666666664,23.731269373125397,1.9041762210817885
2021-04-24,11.55,25.49,17.286145833333332,46.86875,20.42,78.9,1.2908333333333333,0.8607291666666667,23.51009520918475,3.484295740863667
2021-04-25,13.22,27.41,18.383541666666662,34.56104166666667,14.5,49.9,1.4110416666666667,0.9989583333333333,23.29122295929755,4.53573163531137
2021-04-26,12.54,26.96,18.226458333333333,36.45208333333333,17.27,52.82,1.206041666666667,0.9969791666666666,23.074731598788794,4.191148812047893
2021-04-27,12.94,26.44,18.190729166666667,36.238958333333336,18.4,48.4,1.3160416666666668,0.9997916666666666,22.860698792461353,4.245283788169225
2021-04-28,12.77,27.12,18.172916666666666,38.3815625,17.06,56.38,1.4978125,0.9996875,22.64920085395083,4.402888943927302
2021-04-29,12.65,25.41,17.316458333333333,43.37604166666667,21.09,74.1,1.4521875,0.6323958333333335,22.44031270755708,2.992746369106572
2021-04-30,12.36,24.15,16.579270833333332,47.67291666666667,26.4,67.5,1.3753125,0.04468749999999999,22.234107852592196,1.5716552800178543
2021-05-01,11.05,19.47,14.191458333333337,67.95395833333333,45.7,86.4,1.5522916666666668,0.08979166666666683,22.03065833027782,1.1278021543953554
2021-05-02,10.42,17.85,13.275416666666668,70.73854166666666,37.71,91.89,1.4058333333333335,0.0004166666666668428,21.83003469321745,0.6319514186474781
2021-05-03,10.72,20.05,13.699895833333334,72.01593749999999,32.85,94.49,1.2729166666666667,0.017916666666666803,21.63230597746237,0.6612877202579953
2021-05-04,10.73,24.19,15.419270833333334,54.73364583333333,22.98,84.23,1.7571875,0.6867708333333333,21.437539677182357,2.7877943827055423
2021-05-05,10.09,21.54,14.808958333333337,62.712812500000005,34.23,82.96,1.1319791666666668,0.5917708333333334,21.24580172194526,1.9797969379920777
2021-05-06,12.32,24.37,16.51395833333333,50.157916666666665,21.98,81.4,1.5457291666666666,0.3639583333333334,21.05715645660202,2.4517384198711127
2021-05-07,10.5,20.17,14.707187500000002,61.43729166666666,38.55,90.9,1.4665625,0.17604166666666676,20.87166662376649,1.5407795715198214
2021-05-08,9.76,19.2,13.4265625,76.90010416666667,49.37,94.99,1.5152083333333335,0.0860416666666669,20.689393348872052,0.8268554635171816
2021-05-09,8.53,18.51,12.350625,70.89583333333333,38.4,93.7,1.6473958333333334,0.5139583333333334,20.510396127779657,1.7139898989384066
2021-05-10,8.15,19.95,13.6234375,64.05375,38.89,89.6,1.2040625,0.35124999999999995,20.33473281690483,1.5790245416150803
2021-05-11,11.51,24.83,16.702708333333334,39.99,18.0,59.6,1.133541666666667,0.8257291666666666,20.162459625823697,2.7375605320682266
2021-05-12,11.94,25.16,17.109791666666666,33.15541666666667,12.33,75.73,1.8297916666666667,0.6247916666666666,19.99363111231122,3.2738767605825636
2021-05-13,10.74,23.86,16.1840625,52.10416666666666,24.32,77.0,1.4021875,0.478125,19.82830017975773,2.2275796520238043
2021-05-14,12.26,23.77,16.882083333333334,42.1853125,24.0,59.7,1.1634375,0.1825,19.666518076902783,1.9358439621231955
2021-05-15,13.24,23.98,17.17052083333333,42.72333333333333,23.3,61.4,1.083229166666667,0.07666666666666688,19.508334399818875,1.4872938663390634
2021-05-16,11.12,24.71,16.9553125,42.53395833333334,25.1,55.5,1.1038541666666666,0.23447916666666668,19.3537970960708,2.040893874803945
2021-05-17,13.68,26.15,18.306979166666668,37.95072916666667,20.92,55.0,1.1421875,0.01260416666666686,19.202952470969972,1.5138077025977266
2021-05-18,12.56,24.34,17.147395833333334,43.602916666666665,26.5,59.76,1.3204166666666668,0.0958333333333331,19.055845195836937,1.768414903919139
2021-05-19,9.96,19.31,13.703541666666666,62.04677083333333,32.44,89.7,1.5698958333333335,0.13260416666666675,18.912518318179348,1.3605675628678584
2021-05-20,7.78,16.99,11.238437500000002,77.6315625,50.31,93.09,1.4986458333333337,0.5836458333333334,18.77301327368691,1.3682167977469046
2021-05-21,7.2,15.66,10.603958333333331,67.21364583333333,42.28,88.05,1.2335416666666668,0.5191666666666667,18.63736989993936,1.3795489423629048
2021-05-22,6.3,16.45,10.616770833333334,54.44541666666667,25.85,79.8,1.07875,0.975625,18.50562645171855,2.209437413301745
2021-05-23,6.71,18.97,12.334791666666668,36.49541666666666,16.62,53.2,1.3216666666666663,0.5665625000000001,18.377819617810847,2.047476654374644
2021-05-24,7.81,20.29,13.472604166666668,36.055416666666666,19.29,50.72,1.2751041666666667,0.6438541666666666,18.25398453918164,2.0913700707112115
2021-05-25,8.93,21.3,13.971354166666666,43.9665625,21.66,62.45,1.2379166666666668,0.9741666666666666,18.134154828399794,2.690758961853545
2021-05-26,9.65,23.46,15.5246875,38.10364583333333,18.89,55.0,1.3377083333333333,0.9836458333333333,18.018362590186193,3.0122290285523325
2021-05-27,10.61,21.76,15.305520833333333,45.670520833333335,24.08,80.2,1.3825,0.694375,17.906638442957483,2.1308482958438684
